product_type,supplier_name,base_cost,shipping_cost,processing_time,variants_available,personalization_supported,production_partner_required,material,size
bags & pouches,printway,7.20,5.00,3-5 business days,"colors,sizes",yes,yes,,
bags & pouches,printify,8.50,4.50,2-5 business days,"colors,sizes",yes,yes,,
bags & pouches,burgerprints,7.80,4.80,3-6 business days,colors,yes,yes,,
apparel,burgerprints,9.50,5.00,3-6 business days,"sizes,colors",yes,yes,,
apparel,printify,11.00,4.75,2-5 business days,"sizes,colors",yes,yes,,
apparel,printway,10.20,4.60,3-5 business days,"sizes,colors",yes,yes,,
apparel,Embroidery partner,16.99,0.00,7-12 business days (US ePacket),"sizes",yes,yes,35% cotton/65% poly (VERIFY),embroidered tshirt (M) - shipping INCLUDED
apparel,Embroidery partner,23.23,0.00,7-12 business days (US ePacket),"sizes",yes,yes,65% cotton/35% poly,embroidered sweatshirt (M) - shipping INCLUDED
apparel,Embroidery partner,26.38,0.00,7-12 business days (US ePacket),"sizes",yes,yes,65% cotton/35% poly,embroidered hoodie (M) - shipping INCLUDED
jewelry,shineon,9.50,4.50,2-4 business days,"metals,card",yes,yes,,engraved necklace (ship est)
drinkware,printway,8.40,6.00,3-5 business days,"sizes,colors",yes,yes,,
wall art & prints,printify,5.00,4.00,2-5 business days,sizes,yes,yes,,
home & textile,printway,11.00,6.50,3-6 business days,"sizes,colors",yes,yes,,
headwear,printify,9.50,4.25,2-5 business days,colors,yes,yes,,
headwear,Embroidery partner,13.40,0.00,7-12 business days (US ePacket),one size,yes,yes,100% cotton,embroidered wash cap (56-58cm) - shipping INCLUDED
